,subject,subjectId,title,G,GS,MIN,TS%,eFG%,FTRate,OR%,DR%,AST%,TO%,STL%,BLK%,Usg%,+/-,PPP,position,PTS,2P%,%2P,FGM,FGA,FGM-A,FG%,3PM,3PA,3PM-A,3P-R,2PM,2PA,2PM-A,FTM,FTA,FTM-A,ORB,DRB,REB,AST,TO,3P%,%3P,STL,FT%,player_id,Spot-Up_count,Spot-Up_percent,Spot-Up_ppp,Cut_count,Cut_percent,Cut_ppp,Transition_count,Transition_percent,Transition_ppp,P&R Roll Man_count,P&R Roll Man_percent,P&R Roll Man_ppp,Off Screen_count,Off Screen_percent,Off Screen_ppp,Hand Off_count,Hand Off_percent,Hand Off_ppp,P&R Ball Handler_count,P&R Ball Handler_percent,P&R Ball Handler_ppp,Offensive Rebound_count,Offensive Rebound_percent,Offensive Rebound_ppp,ISO_count,ISO_percent,ISO_ppp,No Play Type_count,No Play Type_percent,No Play Type_ppp
131,player,45pvH9N7QKOunwQmSp-kkQ,,75,18,25.49533,50.9,47.8,35.6,3.9,13.2,33.7,18.1,3.0,2.2,23.1,-3.1,0.83,G,11.6,46.5,63.6,4.1,9.9,4.1-9.9,41.7,1.2,3.6,1.2-3.6,,2.9,6.3,2.9-6.3,2.2,3.5,2.2-3.5,,,,6.5,2.5,33.3,36.4,1.6,62.5,45pvH9N7QKOunwQmSp-kkQ,276.0,22.27602905569007,0.9130434782608695,120.0,9.685230024213075,1.3,240.0,19.37046004842615,1.2,15.0,1.2106537530266344,1.0,12.0,0.9685230024213075,1.5,66.0,5.326876513317192,0.8181818181818182,252.0,20.33898305084746,1.0238095238095237,72.0,5.811138014527845,1.625,99.0,7.990314769975787,1.1515151515151516,39.0,3.14769975786925,1.0
132,player,GIlwF8FpRDGVO_jcH8zWnA,,56,16,28.66548,58.3,57.2,11.2,2.2,9.5,11.1,7.1,1.2,0.2,22.6,1.4,1.08,G,16.4,47.4,31.0,5.8,13.4,5.8-13.4,43.0,3.8,9.2,3.8-9.2,,2.0,4.1,2.0-4.1,1.1,1.5,1.1-1.5,,,,2.0,1.1,41.1,69.0,0.7,71.4,GIlwF8FpRDGVO_jcH8zWnA,332.0,33.13373253493014,1.2409638554216869,12.0,1.1976047904191618,0.6666666666666666,216.0,21.55688622754491,1.2592592592592593,28.0,2.7944111776447107,1.2857142857142858,146.0,14.570858283433132,1.1232876712328768,88.0,8.78243512974052,0.9772727272727273,108.0,10.778443113772456,0.7037037037037037,24.0,2.3952095808383236,1.25,24.0,2.3952095808383236,1.0833333333333333,24.0,2.3952095808383236,1.0
133,player,ZTeKxhzrRW-09Tcsd9rG6g,,24,24,36.24514,55.1,51.9,21.5,3.3,18.9,43.6,17.3,1.1,2.4,31.0,-1.4,0.91,G,23.9,49.1,67.8,9.0,19.8,9.0-19.8,45.7,2.5,6.4,2.5-6.4,,6.6,13.4,6.6-13.4,3.3,4.2,3.3-4.2,,,,9.6,4.5,38.6,32.2,0.8,78.4,ZTeKxhzrRW-09Tcsd9rG6g,69.0,9.773371104815865,1.2028985507246377,9.0,1.2747875354107647,1.4444444444444444,91.0,12.889518413597735,1.032967032967033,1.0,0.141643059490085,3.0,10.0,1.41643059490085,0.8,71.0,10.056657223796034,1.1408450704225352,289.0,40.934844192634564,1.1522491349480968,15.0,2.1246458923512748,0.7333333333333333,95.0,13.456090651558073,0.9263157894736842,14.0,1.9830028328611897,0.8571428571428571
134,player,wyeAPhFGQdCLWvdonCRthw,,25,25,24.304,68.0,68.4,50.4,14.3,27.4,13.8,23.9,1.0,4.7,15.1,-3.7,1.04,C,8.8,68.4,100.0,3.6,5.3,3.6-5.3,68.4,0.0,0.0,0.0-0.0,,3.6,5.3,3.6-5.3,1.6,2.7,1.6-2.7,,,,2.3,2.0,,0.0,0.5,58.2,wyeAPhFGQdCLWvdonCRthw,9.0,3.9647577092511015,1.1111111111111112,44.0,19.383259911894275,1.4318181818181819,34.0,14.977973568281937,1.6470588235294117,40.0,17.62114537444934,1.525,,,,,,,3.0,1.3215859030837005,1.3333333333333333,64.0,28.193832599118945,1.234375,14.0,6.167400881057269,1.3571428571428572,7.0,3.0837004405286343,1.1428571428571428
135,player,voJBQiMBQa2A2dvMMJbFFw,,26,0,18.26218,55.8,51.1,28.6,3.3,14.1,6.6,12.3,0.8,1.0,15.5,-0.7,0.98,F,6.4,51.1,33.8,2.0,5.1,2.0-5.1,39.8,1.2,3.4,1.2-3.4,,0.9,1.7,0.9-1.7,1.2,1.5,1.2-1.5,,,,0.9,0.8,34.1,66.2,0.3,81.6,voJBQiMBQa2A2dvMMJbFFw,64.0,35.754189944134076,1.265625,10.0,5.58659217877095,1.2,42.0,23.463687150837988,1.0238095238095237,12.0,6.70391061452514,1.1666666666666667,13.0,7.262569832402235,1.5384615384615385,14.0,7.82122905027933,1.0,4.0,2.2346368715083798,0.0,13.0,7.262569832402235,1.0,,,,5.0,2.793296089385475,0.8
136,player,l29pMpIPR-WO43bo5etqiw,,50,50,27.74733,56.1,52.2,21.0,0.8,7.4,7.8,7.2,0.6,0.0,14.6,-5.2,1.04,G-F,9.8,53.1,32.0,3.2,8.0,3.2-8.0,40.5,1.9,5.4,1.9-5.4,,1.4,2.6,1.4-2.6,1.4,1.7,1.4-1.7,,,,1.6,0.7,34.6,68.0,0.4,85.7,l29pMpIPR-WO43bo5etqiw,204.0,34.34343434343434,1.3333333333333333,2.0,0.33670033670033667,0.0,138.0,23.232323232323232,1.2318840579710144,34.0,5.723905723905724,1.5294117647058822,76.0,12.794612794612794,0.8947368421052632,62.0,10.437710437710438,0.6451612903225806,50.0,8.417508417508419,1.12,6.0,1.0101010101010102,2.0,14.0,2.356902356902357,0.5714285714285714,8.0,1.3468013468013467,1.0
137,player,WNYx_aTcTQu9EfVUbxdk0g,,52,52,32.19038,53.7,50.2,19.0,3.7,19.9,10.9,8.8,1.2,2.6,18.6,-2.0,0.98,F,13.7,50.3,62.6,5.2,11.7,5.2-11.7,43.9,1.5,4.4,1.5-4.4,,3.7,7.3,3.7-7.3,1.9,2.2,1.9-2.2,,,,2.4,1.2,33.3,37.4,0.8,84.5,WNYx_aTcTQu9EfVUbxdk0g,212.0,25.853658536585368,1.0188679245283019,50.0,6.097560975609756,1.2,164.0,20.0,1.2195121951219512,42.0,5.121951219512195,1.5238095238095237,20.0,2.4390243902439024,2.1,24.0,2.9268292682926833,0.8333333333333334,76.0,9.268292682926829,0.6842105263157895,42.0,5.121951219512195,1.2857142857142858,54.0,6.585365853658537,0.8888888888888888,10.0,1.2195121951219512,1.4
138,player,mEtW4mZoQmeGaBvCGo7ktg,,28,1,16.18988,54.3,50.7,23.0,3.9,16.9,6.1,14.2,1.4,1.1,18.0,-1.2,0.93,F,6.3,62.6,61.5,2.5,5.3,2.5-5.3,46.6,0.4,2.0,0.4-2.0,,2.0,3.2,2.0-3.2,1.0,1.2,1.0-1.2,,,,0.7,1.0,21.1,38.5,0.5,79.4,mEtW4mZoQmeGaBvCGo7ktg,74.0,36.27450980392157,0.8918918918918919,6.0,2.941176470588235,1.8333333333333333,62.0,30.392156862745097,1.5483870967741935,6.0,2.941176470588235,0.5,3.0,1.4705882352941175,0.6666666666666666,9.0,4.411764705882353,0.6666666666666666,18.0,8.823529411764707,1.0,10.0,4.901960784313726,1.4,6.0,2.941176470588235,1.0,8.0,3.9215686274509802,0.5
139,player,0piyOfJ3QaiorFFwjazJPQ,,25,25,30.34267,54.2,50.3,30.8,4.8,10.2,21.6,15.8,1.5,1.3,26.9,-2.6,0.91,G,17.3,47.5,63.5,6.1,14.0,6.1-14.0,43.6,1.9,5.1,1.9-5.1,,4.2,8.9,4.2-8.9,3.2,4.3,3.2-4.3,,,,4.2,3.0,36.7,36.5,1.0,73.1,0piyOfJ3QaiorFFwjazJPQ,87.0,18.629550321199144,1.3448275862068966,24.0,5.139186295503212,1.6666666666666667,104.0,22.269807280513916,1.125,4.0,0.8565310492505354,1.25,13.0,2.7837259100642395,1.0,37.0,7.922912205567452,1.2972972972972974,123.0,26.33832976445396,0.991869918699187,21.0,4.496788008565311,1.380952380952381,37.0,7.922912205567452,0.7297297297297297,14.0,2.9978586723768736,0.6428571428571429
140,player,EyGR_mAlRhufzpuq9-Ugcg,,2,0,2.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,-2.5,0.0,,0.0,,0.0,0.0,1.0,0.0-1.0,0.0,0.0,1.0,0.0-1.0,,0.0,0.0,0.0-0.0,0.0,0.0,0.0-0.0,,,,0.0,0.0,0.0,100.0,0.0,,EyGR_mAlRhufzpuq9-Ugcg,2.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
